month,births
01-2016,30579
02-2016,29305
03-2016,32079
04-2016,31607
05-2016,32632
06-2016,32331
07-2016,34151
08-2016,34359
09-2016,34013
10-2016,32046
11-2016,30157
12-2016,29843
01-2017,30331
02-2017,28282
03-2017,31334
04-2017,30680
05-2017,32338
06-2017,32149
07-2017,33563
08-2017,33717
09-2017,32850
10-2017,31945
11-2017,30365
12-2017,29754
01-2018,30490
02-2018,27644
03-2018,31082
04-2018,30367
05-2018,32804
06-2018,31735
07-2018,33218
08-2018,33549
09-2018,32332
10-2018,31676
11-2018,29868
12-2018,29284
01-2019,30117
02-2019,27428
03-2019,30640
04-2019,30388
05-2019,32168
06-2019,31529
07-2019,33892
08-2019,33357
09-2019,32387
10-2019,31549
11-2019,29439
12-2019,29144
01-2020,30034
02-2020,27793
03-2020,30456
04-2020,29977
05-2020,31159
06-2020,30276
07-2020,32269
08-2020,31250
09-2020,30874
10-2020,29866
11-2020,27531
12-2020,27119
